id	affixes	text	en_ud2.bpe_12442.txt	en_ud2.bpe_24884.txt	en_ud2.bpe_49768.txt
1	-an,-ar,-ed,-er,-es,-ian,al-,for-,pre-,to-	Al-Zaman : American forces killed Shaikh Abdullah al-Ani, the preacher at the mosque in the town of Qaim, near the Syrian border.	▁Al - Zaman ▁: ▁American ▁forces ▁killed ▁Shaikh ▁Abd ullah ▁al - An i , ▁the ▁pre acher ▁at ▁the▁m os que ▁in▁the ▁town ▁of ▁Q aim , ▁near▁the ▁Syrian ▁border .	▁Al - Zaman ▁: ▁American▁forces ▁killed ▁Shaikh ▁Abdullah ▁al - An i , ▁the ▁preacher ▁at ▁the▁m osque ▁in▁the ▁town▁of ▁Q aim , ▁near▁the ▁Syrian ▁border .	▁Al - Zaman ▁: ▁American▁forces ▁killed▁Shaikh ▁Abdullah▁al - An i , ▁the ▁preacher ▁at▁the▁m osque ▁in▁the ▁town▁of ▁Q aim , ▁near▁the ▁Syrian ▁border .
2	-ed,-ing,-le,-ling,-ome,-or,-ric,com-,re-	[This killing of a respected cleric will be causing us trouble for years to come.]	▁ [ This ▁killing ▁of▁a ▁respect ed ▁cleric ▁will▁be ▁caus ing ▁us ▁trouble ▁for ▁years▁to ▁come . ]	▁ [ This ▁killing ▁of▁a ▁respected ▁cleric ▁will▁be ▁caus ing ▁us ▁trouble ▁for ▁years▁to▁come . ]	▁ [ This ▁killing ▁of▁a ▁respected ▁cleric ▁will▁be ▁causing ▁us ▁trouble▁for ▁years▁to▁come . ]
3	-ad,-ed,-es,-ey,-ing,-ist,an-,aut-,cel-,ter-	DPA: Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad.	▁D PA : ▁Iraqi ▁authorities ▁announced▁that ▁they▁had ▁b ust ed▁up ▁3 ▁terrorist ▁cells ▁operating ▁in ▁Baghdad .	▁D PA : ▁Iraqi ▁authorities ▁announced▁that ▁they▁had ▁bust ed▁up ▁3 ▁terrorist ▁cells ▁operating ▁in▁Baghdad .	▁D PA : ▁Iraqi ▁authorities ▁announced▁that ▁they▁had ▁bust ed▁up ▁3 ▁terrorist ▁cells ▁operating ▁in▁Baghdad .
4	-ing,-or,-ry,be-,off-	Two of them were being run by 2 officials of the Ministry of the Interior!	▁Two ▁of▁them ▁were ▁being ▁run ▁by ▁2 ▁official s▁of▁the ▁Min istry ▁of▁the ▁Inter ior !	▁Two ▁of▁them ▁were ▁being ▁run▁by ▁2 ▁official s▁of▁the ▁Ministry ▁of▁the ▁Interior !	▁Two ▁of▁them▁were ▁being ▁run▁by ▁2 ▁official s▁of▁the ▁Ministry ▁of▁the▁Interior !
5	-ar,-en,-er,-ing,-ly,-valent,em-,equi-,un-	The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.	▁The▁M o I ▁in▁Iraq ▁is ▁equivalent ▁to▁the▁US ▁FBI , ▁so▁this ▁would▁be ▁like ▁having ▁J . ▁Ed gar ▁H oo ver ▁un w itt ingly ▁employ ▁at▁a ▁high ▁level ▁members▁of▁the ▁We ather men ▁bom bers ▁back ▁in▁the ▁1960 s .	▁The▁M o I ▁in▁Iraq ▁is ▁equivalent ▁to▁the▁US ▁FBI , ▁so▁this ▁would▁be ▁like ▁having ▁J . ▁Edgar ▁H oo ver ▁unw itt ingly ▁employ ▁at▁a ▁high ▁level ▁members▁of▁the ▁Weather men ▁bom bers ▁back ▁in▁the ▁1960 s .	▁The▁M o I ▁in▁Iraq ▁is ▁equivalent ▁to▁the▁US ▁FBI , ▁so▁this ▁would▁be ▁like ▁having ▁J . ▁Edgar ▁H oo ver▁unw itt ingly ▁employ ▁at▁a ▁high▁level ▁members▁of▁the ▁Weather men▁bombers ▁back▁in▁the ▁1960 s .
6	-ad,-ing,-ment,be-,in-	The third was being run by the head of an investment firm.	▁The ▁third ▁was▁being ▁run ▁by▁the ▁head ▁of▁an ▁investment ▁firm .	▁The ▁third ▁was▁being ▁run ▁by▁the ▁head ▁of▁an ▁investment ▁firm .	▁The▁third ▁was▁being ▁run▁by▁the ▁head ▁of▁an ▁investment ▁firm .
7	-er,-et,-ing,-th,mani-	You wonder if he was manipulating the market with his bombing targets.	▁You ▁wonder ▁if ▁he▁was ▁man ip ul ating▁the ▁market ▁with▁his ▁bomb ing ▁targets .	▁You ▁wonder ▁if ▁he▁was ▁manip ul ating▁the ▁market ▁with▁his ▁bombing ▁targets .	▁You ▁wonder ▁if▁he▁was ▁manipul ating▁the ▁market ▁with▁his ▁bombing ▁targets .
8	-ad,-al,-ing,al-,an-,cel-,dis-	The cells were operating in the Ghazaliyah and al-Jihad districts of the capital.	▁The ▁cell s▁were ▁operating ▁in▁the ▁Gh az ali y ah ▁and ▁al - J ihad ▁district s▁of▁the ▁capital .	▁The ▁cell s▁were ▁operating ▁in▁the ▁Gh az ali yah ▁and▁al - Jihad ▁district s▁of▁the ▁capital .	▁The ▁cell s▁were ▁operating ▁in▁the ▁Ghazaliyah ▁and▁al - Jihad ▁district s▁of▁the ▁capital .
9	-ably,-ade,-ate,-ess,-ful,-ing,-ment,-ont,-or,-ry,an-,cel-,con-,new-,ter-	Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.	▁Although ▁the ▁announcement ▁was ▁probably ▁made▁to ▁show ▁progress ▁in ▁ident ify ing▁and ▁breaking ▁up ▁terror ▁cells , ▁I▁don ' t ▁find▁the ▁news ▁that▁the ▁Baath ists ▁continue▁to ▁pen et rate ▁the ▁Iraqi ▁government ▁very ▁hope ful .	▁Although▁the ▁announcement ▁was▁probably ▁made▁to ▁show ▁progress▁in ▁identify ing▁and ▁breaking ▁up ▁terror ▁cells , ▁I▁don ' t ▁find▁the ▁news ▁that▁the ▁Baath ists ▁continue▁to ▁penet rate ▁the▁Iraqi ▁government ▁very ▁hopeful .	▁Although▁the ▁announcement ▁was▁probably ▁made▁to ▁show ▁progress▁in ▁identify ing▁and ▁breaking▁up ▁terror ▁cells , ▁I▁don ' t▁find▁the ▁news ▁that▁the ▁Baathists ▁continue▁to ▁penet rate ▁the▁Iraqi ▁government ▁very ▁hopeful .
10	-er,-ide,-ing,-ly,-or,off-,re-,to-	It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam.	▁It ▁remind s▁me ▁too▁much ▁of▁the ▁ARVN ▁officers ▁who▁were ▁secret ly ▁working ▁for▁the ▁other ▁side ▁in▁Vietnam .	▁It ▁remind s▁me ▁too▁much ▁of▁the ▁ARVN ▁officers ▁who▁were ▁secret ly ▁working▁for▁the ▁other ▁side ▁in▁Vietnam .	▁It ▁remind s▁me ▁too▁much ▁of▁the ▁ARVN ▁officers ▁who▁were ▁secretly ▁working▁for▁the ▁other▁side ▁in▁Vietnam .
