id	affixes	text	ja_norm_ud2.bpe_13230.txt	ja_norm_ud2.bpe_26460.txt	ja_norm_ud2.bpe_52920.txt	ja_ud2.bpe_13230.txt	ja_ud2.bpe_26460.txt	ja_ud2.bpe_52920.txt
1	-ことは,-である,-には,-ので,-より	ホッケーにはデンジャラスプレーの反則があるので、膝より上にボールを浮かすことは基本的に反則になるが、その例外の一つがこのスクープである。	▁ホ ッ ケー には デン ジャ ラス プレー の反 則 があるので 、 膝 より 上に ボールを 浮 かす ことは 基本的だ 反 則 になる が 、 その 例外 の一つ がこの スク ー プ だ 。	▁ホッ ケー には デン ジャ ラス プレー の反 則 があるので 、 膝 より上に ボールを 浮 かす ことは 基本的だ 反 則 になるが 、 その 例外 の一つ がこの スク ー プ だ 。	▁ホッケーには デン ジャ ラス プレー の反 則 があるので 、 膝より上に ボールを 浮 かす ことは 基本的だ 反則になるが 、 その 例外 の一つ がこの スク ー プ だ 。	▁ホ ッ ケー には デン ジャ ラス プレー の反 則 があるので 、 膝 より 上に ボールを 浮か す ことは 基本的に 反 則 になる が 、 その 例外 の一つ がこの スク ー プ である 。	▁ホ ッ ケー には デン ジャ ラス プレー の反 則 があるので 、 膝 より上に ボールを 浮か すことは 基本的に 反 則 になるが 、 その 例外 の一つ がこの スク ー プ である 。	▁ホッケーには デン ジャ ラス プレー の反 則 があるので 、 膝より上に ボールを 浮か すことは 基本的に 反 則 になるが 、 その 例外 の一つ がこの スク ー プ である 。
2	-たい,-てくれる,-です	また行きたい、そんな気持ちにさせてくれるお店です。	▁また 行くたい 、 そんな 気持ち にする せるて くれる お店だ 。	▁また行くたい 、 そんな 気持ち にする せるて くれる お店だ 。	▁また行くたい 、 そんな 気持ち にする せるて くれる お店だ 。	▁また 行きたい 、 そんな 気持ち に させて くれる お店です 。	▁また行きたい 、 そんな 気持ち に させて くれる お店です 。	▁また行きたい 、 そんな気持ちに させて くれる お店です 。
3	-って,-てくる	手に持った特殊な刃物を使ったアクロバティックな体術や、揚羽と薄羽同様にクナイや忍具を使って攻撃してくる。	▁手 に 持つ た 特殊だ 刃 物を 使うた アク ロバ ティック だ 体 術 や 、 揚 羽 と 薄 羽 同様だ ク ナイ や 忍 具 を使うて 攻撃 するて来る 。	▁手 に持つ た 特殊だ 刃 物を使うた アク ロバ ティック だ 体術 や 、 揚 羽 と 薄 羽 同様だ ク ナイ や 忍 具 を使うて 攻撃するて来る 。	▁手に持つた 特殊だ 刃物を使うたアク ロバ ティックだ体術や 、 揚 羽 と 薄 羽 同様だ ク ナイ や 忍 具 を使うて 攻撃するて来る 。	▁ 手に 持 った 特殊な 刃 物 を使った アク ロバ ティック な 体 術 や 、 揚 羽 と 薄 羽 同様 に ク ナイ や 忍 具 を使って 攻撃 してく る 。	▁ 手に持 った 特殊な 刃 物を使った アク ロバ ティック な 体術 や 、 揚 羽 と 薄 羽 同様に ク ナイ や 忍 具 を使って 攻撃してくる 。	▁手に持った 特殊な 刃物を使った アク ロバ ティック な 体術 や 、 揚 羽 と薄羽同様にク ナイ や 忍 具 を使って 攻撃してくる 。
4	-には	3年次にはトータルオフェンスで2,892ヤードを獲得し、これは大学記録となった。	▁3 年 次 には ト ータ ル オ フェンス で 2, 89 2 ヤード を獲得する 、 これは 大学 記録 となるた 。	▁3 年 次 には ト ータル オ フェンス で 2, 89 2 ヤード を獲得する 、 これは 大学 記録となるた 。	▁3 年 次 にはトータルオ フェンス で 2, 89 2 ヤードを獲得する 、 これは 大学記録となるた 。	▁3 年 次 には ト ータ ル オ フェンス で 2, 89 2 ヤード を獲得 し 、 これは 大学 記録 となった 。	▁3 年 次 には ト ータル オ フェンス で 2, 89 2 ヤードを獲得し 、 これは 大学 記録となった 。	▁3 年 次 にはトータルオ フェンス で 2, 89 2 ヤードを獲得し 、 これは 大学 記録となった 。
5	-です	葬儀の最中ですよ!	▁ 葬儀 の最 中だ よ !	▁葬儀 の最中だ よ !	▁葬儀の最中だよ !	▁ 葬儀 の最中 ですよ !	▁葬儀 の最中 ですよ !	▁葬儀 の最中 ですよ !
6	-から,-のみ,-までの	1998年度に着手し、道の駅遠山郷北側からかぐら大橋南詰現道交点までの1.060kmのみ開通済み。	▁199 8 年度 に着 手する 、 道の 駅 遠 山 郷 北 側から か ぐ ら 大 橋 南 詰 現 道 交 点 までの 1. 0 60 ▁km のみ 開 通 済 み 。	▁1998 年度 に着手する 、 道の 駅 遠山 郷 北 側から か ぐら 大橋 南 詰 現 道 交 点 までの 1.0 60 ▁km のみ 開 通 済み 。	▁1998 年度に着手する 、 道の 駅遠山郷北 側から か ぐら 大橋南詰現 道 交 点 までの 1.0 60 ▁km のみ開通済み 。	▁199 8 年度 に着 手し 、 道の 駅 遠 山 郷 北 側 からか ぐ ら 大 橋 南 詰 現 道 交 点 までの 1. 0 60 ▁km のみ 開 通 済み 。	▁1998 年度 に着手し 、 道の 駅 遠山 郷 北側 からか ぐ ら大 橋 南 詰 現 道 交 点 までの 1.0 60 ▁km のみ 開 通 済み 。	▁1998 年度に着手し 、 道の駅遠山郷 北側からか ぐら大橋南詰現道 交 点 までの 1.0 60 ▁km のみ開通済み 。
7	-って,-とともに,-に連れ	そして、第40話でそのカオルと百子をも失い、完全に孤児になってゲンとともに美山家に身を寄せ、またゲンに連れ添って円盤生物を調査するパートナーとなる。	▁そして 、 第 40 話で その カ オル と 百 子 をも 失う 、 完全だ 孤 児 になるて ゲン とともに 美 山 家に 身 を 寄せる 、 また ゲン に 連れ 添 うて 円盤 生 物を 調査 する パート ナー となる 。	▁そして 、 第 40 話で その カオル と 百 子 をも 失う 、 完全だ 孤 児 になるて ゲン とともに 美 山 家に 身を 寄せる 、 また ゲンに 連れ 添 うて 円盤 生 物を 調査 する パートナー となる 。	▁そして 、 第 40 話で そのカオルと百子 をも 失う 、 完全だ 孤 児 になるて ゲン とともに 美 山 家に 身を 寄せる 、 またゲンに連れ添 うて 円盤 生 物を 調査 する パートナーとなる 。	▁そして 、 第 40 話で その カ オル と 百 子 をも 失 い 、 完全に 孤 児 になって ゲン とともに 美 山 家に 身 を 寄せ 、 また ゲン に 連れ 添 って 円盤 生 物を 調査 する パート ナー となる 。	▁そして 、 第 40 話で その カオル と 百 子 をも 失い 、 完全に 孤 児 になって ゲン とともに 美 山 家に 身を 寄せ 、 また ゲン に連れ 添 って 円盤 生 物を 調査 する パートナー となる 。	▁そして 、 第 40 話で そのカオルと百子 をも 失い 、 完全に 孤 児 になって ゲン とともに 美 山 家に 身を 寄せ 、 また ゲン に連れ添って 円盤 生 物を 調査 する パートナーとなる 。
8	-だら,-である	一般的な層流翼型と比べ負圧中心が前進し、圧力勾配はなだらかである。	▁一般的だ 層 流 翼 型 と比べる 負 圧 中心 が前 進する 、 圧力 勾 配 は なだ らかだ ある 。	▁一般的だ 層流翼 型 と比べる 負 圧 中心 が前 進する 、 圧力 勾配 は なだ らかだ ある 。	▁一般的だ 層流翼型 と比べる 負 圧 中心 が前 進する 、 圧力 勾配はなだらかだ ある 。	▁一般 的な 層 流 翼 型 と比べ 負 圧 中心 が前 進し 、 圧力 勾 配 は な だ らか である 。	▁一般 的な 層流翼 型 と比べ 負 圧 中心 が前 進し 、 圧力 勾配 は な だ らか である 。	▁一般 的な層流翼型 と比べ 負 圧中心が前進し 、 圧力 勾配はなだらか である 。
9	-える	一直線に伸びる電撃を放ち、電撃ダメージを与える。	▁一 直 線に 伸 びる 電撃 を放つ 、 電撃 ダメージ を与える 。	▁一 直 線に 伸びる 電撃 を放つ 、 電撃 ダメージ を与える 。	▁一 直 線に伸びる電撃 を放つ 、 電撃 ダメージを与える 。	▁一 直 線に 伸び る 電撃 を放 ち 、 電撃 ダメージ を与える 。	▁一 直 線に 伸び る 電撃 を放ち 、 電撃 ダメージ を与える 。	▁一 直 線に 伸び る電撃を放ち 、 電撃 ダメージ を与える 。
10	-かい,-かも,-たもの,-には,-に至りまし,-ようになり	配属されて最初の1カ月こそ「親切な先輩に恵まれてラッキーだな」と思ったものの、その後すぐに「ちょっとおせっかいかな」と感じるようになり、半年後には「少し邪魔かも」と思い、1年後には「生産性の阻害要因だ」と確信するに至りました。	▁ 配 属 するれるて 最初の 1 カ月 こそ 「 親切だ 先輩 に 恵ま れるて ラ ッキー だ な 」 と思うた ものの 、 その後 すぐだ 「 ちょっと おせ っ かい かな 」 と 感じる ようだなる 、 半 年 後には 「 少し 邪魔 かも 」 と思う 、1 年 後には 「 生産 性の 阻 害 要因 だ 」 と 確信 する に至 るますた 。	▁ 配属 するれるて 最初の 1 カ月 こそ 「 親切だ 先輩 に恵ま れるて ラ ッキー だ な 」 と思うた ものの 、 その後 すぐだ 「 ちょっと おせ っ かい かな 」 と 感じる ようだなる 、 半 年後には 「 少し 邪魔 かも 」 と思う 、1 年後には 「 生産性の 阻害 要因 だ 」 と確信 する に至 るますた 。	▁ 配属 するれるて 最初の 1 カ月 こそ 「 親切だ 先輩に恵まれるて ラ ッキー だ な 」 と思うた ものの 、 その後 すぐだ 「 ちょっと おせ っ かい かな 」 と 感じる ようだなる 、 半年後には 「 少し 邪魔 かも 」 と思う 、1 年後には 「 生産性の 阻害要因だ 」 と確信 する に至るますた 。	▁ 配 属 されて 最初の 1 カ月 こそ 「 親切 な 先輩 に 恵 まれて ラ ッキー だ な 」 と思った ものの 、 その後 すぐに 「 ちょっと おせ っ かい かな 」 と 感じる ようになり 、 半 年 後には 「 少し 邪魔 かも 」 と思い 、1 年 後には 「 生産 性の 阻 害 要因 だ 」 と 確信 する に至 りました 。	▁ 配属 されて 最初の 1 カ月 こそ 「 親切な 先輩 に 恵 まれて ラ ッキー だ な 」 と思った ものの 、 その後 すぐに 「 ちょっと おせ っ かい かな 」 と 感じる ようになり 、 半 年後には 「 少し 邪魔 かも 」 と思い 、1 年後には 「 生産性の 阻害 要因 だ 」 と確信 する に至 りました 。	▁ 配属 されて 最初の 1 カ月 こそ 「 親切な先輩 に 恵 まれて ラ ッキー だ な 」 と思った ものの 、 その後 すぐに 「 ちょっと おせ っ かい かな 」 と 感じる ようになり 、 半年後には 「 少し 邪魔 かも 」 と思い 、1 年後には 「 生産性の阻害 要因 だ 」 と確信 する に至 りました 。
