id	affixes	text	zh_ud2.bpe_11198.txt	zh_ud2.bpe_22396.txt	zh_ud2.bpe_44792.txt
1	-们,好-	看似简单,只是二选一做决择,但其实他们代表的是你周遭的亲朋好友,试著给你不同的意见,但追根究底,最后决定的还是自己.	▁ 看 似 简单 , 只是 二 选 一 做 决 择 , 但 其实 他们 代表 的是 你 周 遭 的亲 朋 好友 , 试 著 给 你 不同的 意见 , 但 追 根 究 底 , 最后 决定 的 还是 自己 .	▁看似 简单 , 只是 二 选 一 做 决 择 , 但其实 他们 代表 的是 你 周遭 的亲 朋 好友 , 试著 给 你 不同的意见 , 但 追 根 究 底 , 最后决定 的 还是 自己 .	▁看似简单 , 只是 二 选 一 做 决 择 , 但其实他们 代表 的是 你 周遭的亲朋 好友 , 试著 给 你 不同的意见 , 但 追 根 究 底 , 最后决定 的 还是 自己 .
2	-热	其便当都是买来的,就算加热也是由妈妈负责(后来揭晓其实是避免带来厄运),父亲则在电视台上班.	▁其 便 当 都是 买 来的 , 就 算 加热 也是 由 妈妈 负责 ( 后来 揭 晓 其实 是 避免 带来 厄 运 ), 父亲 则在 电视台 上 班 .	▁其 便 当 都是 买 来的 , 就算 加热 也是由 妈妈 负责 ( 后来 揭 晓 其实是 避免 带来 厄运 ), 父亲 则在 电视台 上班 .	▁其 便 当 都是 买 来的 , 就算加热 也是由妈妈 负责 ( 后来 揭 晓 其实是 避免 带来 厄运 ), 父亲 则在 电视台 上班 .
6	-学	就算数论的应用被找到了,也不会有人会因此罢黜这一数学的皇后.	▁就 算 数 论 的 应用 被 找到了 , 也不会 有人 会 因此 罢 黜 这一 数 学的 皇后 .	▁就 算 数 论 的 应用 被 找到了 , 也不会 有人会 因此 罢黜 这一 数学的 皇后 .	▁就 算 数 论 的 应用 被 找到了 , 也不会有人会 因此罢黜这一 数学的皇后 .
7	-地	一中商圈另一特色为同类型商店会聚集,短短的育才街聚集了十数家知名眼镜连锁店,而体育用品店沿著太平路连成一线,在激烈竞争下价格比外地便宜不少,货比三家更增加购物乐趣.	▁一 中 商 圈 另一 特色 为 同 类型 商店 会 聚集 , 短短 的 育 才 街 聚集 了十 数 家 知名 眼镜 连锁 店 , 而 体育用品 店 沿著 太平 路 连 成 一 线 , 在 激烈 竞争 下 价格 比 外 地 便宜 不少 , 货 比 三 家 更 增加 购 物 乐 趣 .	▁一 中 商 圈 另一 特色 为 同类型 商店 会 聚集 , 短短 的育才 街 聚集 了十 数 家 知名 眼镜 连锁 店 , 而 体育用品 店 沿著 太平 路 连 成 一线 , 在 激烈 竞争 下 价格 比 外 地 便宜 不少 , 货 比 三 家 更 增加 购物 乐 趣 .	▁一 中 商 圈 另一 特色 为 同类型 商店 会 聚集 , 短短的育才 街 聚集 了十 数 家 知名 眼镜连锁店 , 而 体育用品 店沿著 太平 路连成一线 , 在 激烈 竞争 下 价格 比 外 地便宜不少 , 货 比 三 家 更 增加购物 乐 趣 .
9	-们	我们只希望,藉著这个历史上真实人物的一生,利用一些稗官野史的片段资料,再加上一些善意改编的部分情节,而能带给观众一些启示.」	▁我们 只 希望 , 藉著 这个 历史上 真实 人物 的一 生 , 利用 一些 稗 官 野 史的 片 段 资料 , 再 加上 一些 善 意 改编 的 部分 情节 , 而 能 带给 观众 一些 启 示 .」	▁我们 只 希望 , 藉著 这个 历史上 真实人物 的一生 , 利用 一些 稗 官 野 史的 片段 资料 , 再加上 一些 善意 改编的 部分 情节 , 而 能 带给 观众 一些 启 示 .」	▁我们 只 希望 , 藉著这个 历史上 真实人物 的一生 , 利用 一些 稗 官 野史的片段 资料 , 再加上一些 善意 改编的 部分情节 , 而能带给 观众 一些 启 示 .」
12	-们,-子	电视台把一个跋扈专横、乱伦篡国的武则天演成柔弱堪怜的女子,这是我们所不能容忍的.	▁ 电视台 把 一个 跋 扈 专 横 、 乱 伦 篡 国的 武则 天 演 成 柔 弱 堪 怜 的 女子 , 这是 我们 所 不能 容 忍 的 .	▁ 电视台 把 一个 跋 扈 专 横 、 乱 伦 篡 国的 武则天 演 成柔弱 堪 怜 的 女子 , 这是 我们所 不能 容 忍 的 .	▁ 电视台 把 一个 跋 扈 专 横 、 乱 伦 篡 国的 武则天 演成柔弱堪 怜 的 女子 , 这是 我们所 不能 容 忍 的 .
13	-学,-者	UMLS可用于设计信息检索或病历系统,促进不同系统之间的通讯交流,或者用于开发能够解析生物医学文献的系统.	▁U M L S 可 用于 设计 信息 检 索 或 病 历 系统 , 促进 不同 系统 之间的 通讯 交流 , 或者 用于 开发 能够 解 析 生物 医学 文献 的系统 .	▁U M L S 可用于 设计 信息 检索或 病 历 系统 , 促进 不同 系统 之间的 通讯交流 , 或者 用于 开发 能够 解 析 生物医学 文献 的系统 .	▁U M L S 可用于 设计 信息检索或 病 历 系统 , 促进 不同 系统 之间的 通讯交流 , 或者 用于 开发 能够 解 析生物医学 文献 的系统 .
14	-们	一支由白人军官带领的黑人民兵洗劫了卡梅隆庄园,并且企图强暴卡梅隆家的每一个女眷,但邦联军队击溃这些民兵,拯救了她们.	▁一 支 由 白人 军官 带领 的黑 人民 兵 洗 劫 了 卡 梅 隆 庄园 , 并且 企图 强 暴 卡 梅 隆 家的 每一个 女 眷 , 但 邦 联 军队 击 溃 这些 民兵 , 拯救 了她 们 .	▁一 支 由 白人 军官 带领 的黑 人民 兵 洗 劫 了 卡梅隆 庄园 , 并且 企图 强 暴 卡梅隆 家的 每一个 女 眷 , 但 邦联 军队 击 溃 这些 民兵 , 拯救 了她 们 .	▁一 支 由白人军官 带领的黑 人民 兵 洗 劫 了 卡梅隆 庄园 , 并且 企图强暴 卡梅隆 家的每一个 女 眷 , 但邦联 军队 击 溃 这些 民兵 , 拯救 了她 们 .
15	第-	2006年剩下的时光,乐团都用来编写与录制乐团的第三张专辑闲言闲语就是不道自己,该专辑并在2007年5月发行.	▁2006 年 剩 下的 时 光 , 乐团 都 用来 编 写 与 录制 乐团 的第三 张专辑 闲 言 闲 语 就是 不 道 自己 , 该 专辑 并在 2007 年 5 月 发行 .	▁2006 年 剩下的 时 光 , 乐团 都 用来 编写 与 录制 乐团 的第三 张专辑 闲 言 闲 语 就是 不 道 自己 , 该 专辑 并在 2007 年 5 月 发行 .	▁2006 年剩下的时 光 , 乐团 都 用来编写与 录制 乐团的第三 张专辑 闲 言 闲 语 就是 不 道 自己 , 该 专辑 并在 2007 年 5 月 发行 .
19	-子	吴汤兴将发辫交给妻子,并且嘱咐若不幸战死,以发为冢.	▁吴 汤 兴 将 发 辫 交给 妻子 , 并且 嘱 咐 若 不幸 战死 , 以 发 为 冢 .	▁吴 汤兴将 发 辫 交给 妻子 , 并且 嘱 咐 若 不幸 战死 , 以发为 冢 .	▁吴汤兴将 发 辫 交给 妻子 , 并且 嘱 咐 若 不幸战死 , 以发为冢 .
21	非-	一级抗体对于检测如癌症、糖尿病、帕金森氏症和阿尔茨海默氏病等疾病所特有的生物标记是非常有用的.	▁一 级 抗 体 对于 检测 如 癌症 、 糖 尿 病 、 帕 金 森 氏 症 和 阿尔 茨 海 默 氏 病 等 疾病 所 特 有的 生物 标记 是非常 有 用的 .	▁一 级 抗 体 对于 检测 如 癌症 、 糖尿病 、 帕 金 森 氏 症 和 阿尔 茨 海默 氏 病 等 疾病 所 特有的 生物 标记 是非常 有用的 .	▁一 级 抗 体 对于 检测如癌症 、 糖尿病 、 帕 金 森 氏 症 和 阿尔 茨 海默 氏 病 等 疾病 所 特有的 生物 标记是非常 有用的 .
24	-学,大-	1903年该学堂易名为北洋大学堂(今天津大学),丁家立仍任总教习.	▁190 3 年 该 学堂 易 名为 北 洋 大学 堂 ( 今 天津 大学 ), 丁 家 立 仍 任 总教习 .	▁190 3 年 该 学堂 易名为 北洋 大学堂 ( 今 天津 大学 ), 丁 家 立 仍 任 总教习 .	▁190 3 年该学堂 易名为 北洋大学堂 ( 今 天津 大学 ), 丁 家 立 仍 任 总教习 .
25	-者	其后,前者在逃亡时被杀而七里氏则能成功逃至加贺.	▁其后 , 前 者在 逃 亡 时被 杀 而 七 里 氏 则 能 成功 逃 至 加 贺 .	▁其后 , 前 者在 逃 亡 时被 杀 而 七 里 氏则 能 成功 逃至加 贺 .	▁其后 , 前者在逃亡 时被 杀 而 七 里 氏则 能 成功 逃至加贺 .
26	-感	在最后,医生终于意识到外星人们只想要他的歌声,而并没有将他视作一个有情感的实体.	▁在 最后 , 医生 终于 意识到 外星 人们 只 想要 他的 歌 声 , 而 并没有 将他 视 作 一个 有 情感 的 实体 .	▁在 最后 , 医生 终于 意识到 外星 人们 只 想要 他的歌声 , 而 并没有 将他 视作 一个有 情感 的 实体 .	▁在 最后 , 医生 终于意识到 外星 人们 只 想要 他的歌声 , 而 并没有 将他视作 一个有情感的 实体 .
29	-家	该路临近静安寺和曹家渡两段店铺较多.	▁该 路 临 近 静 安 寺 和 曹 家 渡 两 段 店 铺 较多 .	▁该 路 临近静 安 寺 和曹家 渡 两段 店铺 较多 .	▁该 路临近静安 寺 和曹家 渡 两段 店铺较多 .
30	-地	纪念碑四周建成占地面积11265平方米的三元里抗英纪念公园.	▁ 纪念碑 四周 建成 占地 面积 1 12 65 平方米 的三 元 里 抗 英 纪念公园 .	▁ 纪念碑 四周 建成 占地面积 112 65 平方米 的三 元 里 抗 英 纪念公园 .	▁ 纪念碑 四周 建成占地面积 11265 平方米 的三 元 里 抗英纪念公园 .
32	-度	1642年11月,瑞典军于布赖滕费尔德再度击败神圣罗马帝国军,但此时丹麦王却嫉妒瑞典军的成果,并恐惧瑞典强大后,丹麦受其所制,因此乘瑞典军进攻日耳曼南方之际,向瑞典宣战.	▁16 42 年 11 月 , 瑞典 军 于 布赖 滕 费 尔德 再度 击败 神圣罗马帝国 军 , 但 此时 丹麦 王 却 嫉 妒 瑞典 军 的成 果 , 并 恐 惧 瑞典 强大 后 , 丹麦 受 其所 制 , 因此 乘 瑞典 军 进攻 日耳曼 南方 之际 , 向 瑞典 宣 战 .	▁16 42 年 11 月 , 瑞典军 于 布赖 滕 费尔德 再度 击败 神圣罗马帝国 军 , 但 此时 丹麦 王 却嫉妒 瑞典军 的成果 , 并 恐惧 瑞典 强大 后 , 丹麦 受 其所 制 , 因此 乘 瑞典军 进攻 日耳曼 南方 之际 , 向 瑞典 宣战 .	▁16 42 年 11 月 , 瑞典军 于布赖滕 费尔德再度 击败 神圣罗马帝国 军 , 但此时 丹麦王却嫉妒 瑞典军 的成果 , 并 恐惧 瑞典强大后 , 丹麦 受其所制 , 因此 乘 瑞典军进攻 日耳曼 南方之际 , 向 瑞典 宣战 .
33	-学,小-	在密苏里州,由于家长的要求,该书被放置在学校图书馆的非小说类文学作品区.	▁在 密 苏 里 州 , 由于 家 长的 要求 , 该 书 被 放置 在 学校 图书馆 的非 小说 类 文学作品 区 .	▁在 密苏 里 州 , 由于 家长的 要求 , 该书被 放置在 学校 图书馆 的非 小说 类 文学作品 区 .	▁在 密苏 里 州 , 由于家长的 要求 , 该书被 放置在学校 图书馆的非 小说 类文学作品 区 .
34	-性	本书就是基于罗伊和塞隆的真实故事,这两只住在纽约中央公园动物园的雄性南极企鹅组成伴侣达6年.	▁本 书 就是 基于 罗 伊 和 塞隆 的真实 故事 , 这两 只 住在 纽约 中央 公园 动物园 的 雄性 南极 企鹅 组成 伴 侣 达 6 年 .	▁本书 就是 基于 罗伊和 塞隆 的真实故事 , 这两 只 住在 纽约 中央 公园 动物园 的 雄性 南极 企鹅 组成 伴 侣 达 6 年 .	▁本书就是 基于 罗伊和塞隆 的真实故事 , 这两只住在 纽约 中央 公园动物园的 雄性 南极企鹅组成 伴 侣 达 6 年 .
35	-化,-性	现实中,雄性企鹅孵化并协助抚养幼鸟成长是其天性,这在其他许多鸟类中也很常见.	▁ 现实 中 , 雄性 企鹅 孵 化 并 协助 抚 养 幼 鸟 成长 是 其 天 性 , 这 在 其他 许多 鸟类 中也 很 常见 .	▁ 现实 中 , 雄性 企鹅 孵 化并 协助 抚 养 幼 鸟 成长 是其 天 性 , 这 在其他 许多 鸟类 中也 很 常见 .	▁ 现实 中 , 雄性 企鹅 孵化并协助 抚 养 幼 鸟 成长是其天性 , 这 在其他许多 鸟类中也很 常见 .
37	-员,-家	三崎四郎,日本足球运动员,前日本国家足球队成员.	▁三 崎 四 郎 , 日本 足球 运动员 , 前 日本 国家足球队 成员 .	▁三 崎四郎 , 日本 足球 运动员 , 前 日本 国家足球队 成员 .	▁三崎四郎 , 日本 足球 运动员 , 前 日本 国家足球队 成员 .
43	地-,第-	第三次社会大分工首先在商品交换最为发达的地区出现.	▁第三 次 社会 大 分 工 首先 在 商品 交换 最为 发达 的地区 出现 .	▁第三 次 社会 大 分 工 首先在 商品 交换 最为 发达 的地区 出现 .	▁第三次 社会 大 分工首先在 商品 交换 最为 发达 的地区 出现 .
44	-们,-化,反-	它还与五氧化二氮催化臭氧分解的反应有关,这对臭氧层会造成破坏,因此引起了人们的兴趣.	▁它 还 与 五 氧化 二 氮 催 化 臭氧 分解 的 反应 有关 , 这 对 臭氧 层 会造成 破坏 , 因此 引起了 人们 的 兴趣 .	▁它 还 与 五 氧化 二 氮 催化 臭氧 分解 的 反应 有关 , 这 对 臭氧 层 会造成 破坏 , 因此 引起了人们 的 兴趣 .	▁它 还 与 五 氧化 二 氮 催化 臭氧 分解 的 反应 有关 , 这 对臭氧 层会造成破坏 , 因此 引起了人们的 兴趣 .
45	-化,-学	三氯化铑(化学式:RhCl3),IUPAC名称氯化铑(III),是最常见和最稳定的铑的氯化物,室温下为暗红色的固体.	▁三 氯化 铑 ( 化学 式 : R h Cl 3 ), I U PA C 名称 氯化 铑 ( II I ), 是最 常见 和 最 稳定的 铑 的 氯化 物 , 室 温 下 为 暗 红 色的 固体 .	▁三 氯化铑 ( 化学 式 : R h Cl 3 ), I U PA C 名称 氯化铑 ( III ), 是最 常见 和 最 稳定的 铑 的 氯化 物 , 室 温下为 暗 红色的 固体 .	▁三 氯化铑 ( 化学 式 : R h Cl 3 ), IUPAC 名称氯化铑 ( III ), 是最 常见 和 最 稳定的 铑 的 氯化 物 , 室 温下为 暗红色的 固体 .
46	-化	一个不同点是,三氯氧钒是强氧化剂,而磷化物不是.	▁一个 不同 点是 , 三 氯 氧 钒 是 强 氧化 剂 , 而 磷 化 物 不是 .	▁一个 不同 点是 , 三 氯 氧 钒 是 强 氧化剂 , 而 磷 化 物 不是 .	▁一个不同 点是 , 三 氯 氧 钒 是 强氧化剂 , 而 磷 化 物 不是 .
47	-学	三江镇下辖三江社区、三江村、茄南村、道学村、茄芮村、苏寻三村、上云村、眼镜塘村和江源村.	▁三 江 镇 下辖 三 江 社区 、 三 江 村 、 茄 南 村 、 道 学 村 、 茄 芮 村 、 苏 寻 三 村 、 上 云 村 、 眼镜 塘 村 和江 源 村 .	▁三 江 镇 下辖三江 社区 、 三江村 、 茄南村 、 道 学 村 、 茄 芮 村 、 苏 寻 三 村 、 上 云 村 、 眼镜 塘 村 和江 源 村 .	▁三 江 镇 下辖三江社区 、 三江村 、 茄南村 、 道 学 村 、 茄 芮 村 、 苏 寻 三 村 、 上 云 村 、 眼镜塘村 和江 源 村 .
