1	-an,-ar,-ed,-er,-es,-ian,al-,for-,pre-,to-	Al-Zaman : American forces killed Shaikh Abdullah al-Ani, the preacher at the mosque in the town of Qaim, near the Syrian border.
2	-ed,-ing,-le,-ling,-ome,-or,-ric,com-,re-	[This killing of a respected cleric will be causing us trouble for years to come.]
3	-ad,-ed,-es,-ey,-ing,-ist,an-,aut-,cel-,ter-	DPA: Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad.
4	-ing,-or,-ry,be-,off-	Two of them were being run by 2 officials of the Ministry of the Interior!
5	-ar,-en,-er,-ing,-ly,-valent,em-,equi-,un-	The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.
6	-ad,-ing,-ment,be-,in-	The third was being run by the head of an investment firm.
7	-er,-et,-ing,-th,mani-	You wonder if he was manipulating the market with his bombing targets.
8	-ad,-al,-ing,al-,an-,cel-,dis-	The cells were operating in the Ghazaliyah and al-Jihad districts of the capital.
9	-ably,-ade,-ate,-ess,-ful,-ing,-ment,-ont,-or,-ry,an-,cel-,con-,new-,ter-	Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.
10	-er,-ide,-ing,-ly,-or,off-,re-,to-	It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam.
11	-an,-cratic,-ed,-er,-ing,-ty,af-	Al-Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul.
12	-ad,-ed,-en,-ent,-er,an-,be-,bi-,com-,dec-	The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul, whereas there had been a big jump in the number of kidnappings.
13	-ad,-etic,-ey,-ile,-ome,-on,-ped,an-,co-	On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home.
14	-ar,-ed,-ey,be-,co-,de-,dis-	In Suwayrah, Kut Province, two car bombs were discovered before they could be detonated.
15	-ation,-ist,-ite,-ly,-or,an-,over-	(Kut is in southeastern Iraq and has an overwhelmingly Shiite population, who are on the lookout for Baathist saboteurs and willingly turn them in.
16	-ed,-ence,-er,-in,-ness,-ry,-th,cent-,co-,di-	This willingness is the main difference in the number of bombings in the south as opposed to the center-north of the country.)
17	-ad,-al,-ant,-ation,-ean,-ed,-er,-in,-ity,-ol,-th,de-,dis-	In Baghdad Kadhim Talal Husain, assistant dean at the School of Education at Mustansiriyah University, was assassinated with his driver in the Salikh district.
18	-ed,-eer,en-	Guerrillas killed an engineer, Asi Ali, from Tikrit.
19	-an,-ed,-er,-ey,-id,al-,tri-	They also killed Shaikh Hamid 'Akkab, a clan elder of a branch of the Dulaim tribe in Tikrit.
20	-ed,-er,al-,at-	His mother was also killed in the attack.
21	-ed,-en,-er,-st,an-,be-	Two other Dulaim leaders have been killed in the past week and a half.
22	-ad,-ar,-ed,-ing,at-,de-,in-	Guerrillas near Hawijah launched an attack that left 6 dead, including 4 Iraqi soldiers.
23	-er,-on,-ty,an-,com-,de-,tri-	One of them was from the Jubur tribe and was deputy commander of the Hawijah garrison.
24	-ad,-an,-ed,-en,-er,-id,-ing,-ling,an-,de-,prot-,uni-	Two hundred members of the Batawi clan of the Dulaim demonstrated in Baghdad on Friday, protesting the killing of their clan elder, Shaikh Kadhim Sarhid and 4 of his sons, by gunmen wearing Iraqi army uniforms.
25	-an,-ation,-ed,-ing,-ite,-ly,-ment,-ome,-or,-th,ac-,an-,be-,co-,like-	(This is a largely Sunni Arab clan, and some Sunni observers have accused Shiite elements in the government of being behind the assassination; it is more likely the work of Sunni Arab guerrillas punishing the Batawi leaders for cooperating with the Dec. 15 elections.)
26	-al,-an,-ant,-ed,-en,-es,-est,-fication,-ing,-ion,-ly,-th,-ty,ac-,be-,de-,ex-,in-,ind-,off-,par-,re-	Al-Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on party lists in the Dec. 15 elections on grounds of having been sufficiently involved in Baath activities to warrant their being excluded from civil office.
27	-ad,-al,-id,-ion,-or,ex-	The Commission said it had no legal grounds for such an exclusion.
28	-all,-ed,-ly,an-,mis-,on-	This item is a small one and easily missed.
29	-ant,-ly	But in my view it is highly significant.
30	-ad,-al,-ard,-ed,-en,-ess,-fication,-ion,-ry,an-,be-,in-	The Debaathification Commission had been pushed by Ahmad Chalabi and his Iraqi National Congress very hard, and had pushed many Sunni Arabs into the arms of the guerrillas.
31	-age,-an,-ed,-en,-er,-es,-in,-ite,-ly,-on,-th,an-,be-,de-,in-,with-	Chalabi has been increasingly marginalized within Iraq, however, despite his ties of clientelage with Washington and Tehran.
32	-ance,-ant,-ed,-er,-ist,-ite,-ment,-ont,an-,par-	He is no longer in the dominant Shiite list, the United Iraqi Alliance, and won't have many seats in the new parliament.
33	-ed,-en,-ent,-ing,-ome,-or,-th,-ty,be-,co-,mon-,off-,re-	Some 2,000 junior officers of the old Baath army have been recalled to duty in recent months, something Chalabi would have blocked if he could have.
34	-al,-ing,-ion,-ish,-le,-or,-ship,-st,-th,-ty,re-	Now the Electoral Commission is refusing to punish people for mere past Baath Party membership.
35	-ation,-er,-et,-ing,-ly,be-,on-	The situation in Iraq is only going to get better this way.
36	-ed,-ity,-on,-one,-st,ag-,com-	If someone committed a crime against humanity, prosecute the person.
37	-en,-er,-ey,-id,al-,di-	If he or she did not, then they should have all the same rights as other Iraqis.
38	-ed,-ein,-ey,-ial,-ness,-or,al-,di-,re-,tri-	Al-Sharq al-Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died.
39	-ed,-tion,be-,co-,de-,di-	A team from the court managed to take his deposition before he died.
40	-ial,-in,ag-,be-,tri-	The trial begins again Nov.28.
41	-ad,-al,-es,-ing,-ity,-ly,an-,con-	In Baghdad the fighting still continues in several areas, mostly in Sadr city and Adhamiya.
42	-er,-et,-ont,-ture,an-	Baghdadis don't venture much out of their neighbourhoods any more, you never know where you might get stuck.
43	-ed,-en,-in,ag-,be-,im-	There has been talk that the night curfew might be implemented again.
44	-an,-ed,-ee,-en,-er,-hood,-ling,-or,be-,heli-,non-,ov-	My neighbourhood has been surrounded by American troops for three days now, helicopters have been circling over our heads non-stop.
45	-an,-en,-er,-et,-ey,-ible,-ome,an-,be-	Fedayeen are now visible on the street and they have become bolder than ever.
46	-ad,-art,-en,-et,-ey,-ing,-ly,-ome,an-,com-,ind-,on-	Yesterday there were tens of them putting road blocks on our street and setting up mortars, they only come out in the open when Americans leave the area, then they start firing mortars indiscriminately and shooting their AK-47's in the air.
47	-ad,-ar,-es,-ey,-ing,-le,-st,exa-,ind-	They are setting the road blocks at the exact same positions they were during the war last year, which indicates they are the same people.
48	-an,-ing,-le,-ly,ab-,an-,re-	And there is nothing we can do about it really, people who are suggesting that we go out and fight them are living in dream land.
49	-an,-ant,-ed,-en,-hood,-ide,-ing,-ish,-ont,-ose,-pter,ab-,al-,an-,dis-,ex-,heli-,in-	Even the IP and ICDC have abandoned the neighbourhood, and those are trained and armed, so don't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank doesn't bomb them, and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen?
50	-ing,-ive,-ome,-one,-th,an-,ap-	Everyone is apprehensive, there is some talk that April 9th and 10th are going to be bloody days.
51	-ad,-al,-an,-ent,-est,-ine,-le,-one,-st,al-,de-,re-	Most people haven't gone to work the last few days, although it seems that the rest of Baghdad is 'normal' (if you can define what normal is).
52	-al,-ar,-ard,-ee,-er,-et,-hood,-ic,-ing,-or,-st,-ty,ab-,ag-,al-,an-,ano-,di-,on-,over-,pre-,to-	There are rumours about preparations by slum dwellers for another looting spree against banks, governmental and public property similar to the one that took place last April, and I have already overheard youngsters in my neighbourhood joking about it and saying things like "This time we will be the first to loot, we didn't get anything the last time".
53	-al,-ed,-er,-es,-ine,-ing,-ling,-or,-st,al-,an-,con-,re-	Mosques are calling for donating blood, food, and medicine for Fallujah, and several convoys have already headed out for Fallujah, most of them returned later though.
54	-ad,-an,-ance,-en,-es,-et,-ey,-ia,-ics,-ing,-ite,-ity,-st,ag-,al-,an-,be-,de-,in-,ir-,other-,ter-	What irritates me is this sudden false 'solidarity' between Sunni and Shi'ite clerics, we all know that they would be glad to get at each others throats when they have the chance, and Shia clerics were describing Fallujan insurgents as 'Ba'athists', 'Saddamites', 'Wahhabis', and 'terrorists' just a few days ago.
55	-ed	So what happened?
56	-er,-ess,-in,-ing,-st,ag-,an-,co-,en-	I guess it's just the old new Arab 'Me against my brother, me and my brother against my cousin, me and my cousin against my enemy', or 'The enemy of my enemy is my friend' thing going on again.
57	-ing,-ly,-or,new-,on-,re-	Speaking of Fallujah, we have only Al-Jazeera to rely on for our news from there.
