1	-an,-i,-lah,ke-,se-,ter-	Sembungan adalah sebuah desa yang terletak di kecamatan Kejajar, kabupaten Wonosobo, Jawa Tengah, Indonesia.
2	-an,-i,-kan,-nya,di-,ke-,me-,mem-,peng-,se-,ter-	Sebuah serangan pengayauan biasanya terjadi di ladang atau dengan membakar sebuah rumah dan memenggal semua penghuninya ketika mereka melarikan diri.
3	-an,-i,-kan,di-,per-,se-	Perkembangan ini diikuti oleh helm Brodie yang dipakai tentara Imperium Britania dan AS, dan pada tahun 1916 oleh Stahlhelm Jerman dengan perbaikan desain yang masih dipakai sampai sekarang.
4	-an,-i,-kan,-nya,di-,ke-,me-,mem-,men-,meny-,per-,se-	Dari jarak dekat, dua kapal perusak, Sterett dan O 'Bannon menembakkan beberapa kali salvo ke bangunan atas kapal Hiei. Sebelum melarikan diri ke dalam kegelapan, keduanya mungkin sempat menyarangkan satu atau dua buah torpedo ke bagian lambung kapal Hiei hingga makin memperparah kerusakan.
5	-an,-i,-lah	Angka harapan hidup adalah 73, 4 tahun, yakni di bawah rerata Uni Eropa.
6	-an,-i,-kan,-nya,di-,ke-,me-,mem-,per-	Pasukan Mongol yang tidak tahu apa yang harus mereka perbuat itu disiasati oleh Raden Wijaya untuk membantunya memberontak melawan kerajaan Kediri.
7	-an,-i,mem-,per-	Krogh juga yang pertama kali membuat studi perbandingan pada hewan.
8	-an,-i,-kan,-ku,di-,ke-,se-	Lagu ini kemudian ditampilkan sebagai lagu utama dalam rilisan EP (Extended Play), Moshi Moshi Harajuku, dan album "Pamyu Pamyu Revolution".
9	-an,-kan,-lah,ber-,di-,ke-,mem-,pen-	Maka dimulailah suatu gerakan yang bertujuan membentuk kelompok pendidikan.
10	-an,-i,-kan,-nya,antar-,ber-,di-,ke-,meng-,peng-,se-,ter-	Cikal bakal Lembaga Pendidikan ini dirintis oleh beberapa ulama terdahulu di antaranya oleh almarhum Bapak M. Basith yang kegiatan belajar mengajarnya bermula di Musholla Taqwa Muaradua sejak pengujung tahun '70 - an.
11	-an,-i,meng-,pem-,se-,ter-	Demikian juga bagi sebagian besar kalangan masyarakat yang menganggap bahwa pemerintahan di Amerika Serikat terlalu birokratis.
12	-an,-i,-kan,-lah,ber-,me-,mem-,menge-	Aliran ini memiliki ajaran yang bervariasi mengenai Kristologi Yesus: Doketisme merupakan salah satu aliran dari Gnostisisme yang ada pada saat itu.
13	-i,-lah,di-,se-	Santa Fe adalah sebuah kotamadya di Vega de Granada, Granada, Spanyol, dialiri oleh Sungai Genil.
14	-an,-i,ber-,di-,ke-,me-,men-,se-	Kapal ini didesain sebagai kapal serang berkecapatan tinggi, untuk mencapai itu maka badan kapal dibuat dari Aluminium sehingga bisa lebih ringan selain itu untuk mencapai kecepatan tinggi kapal ini dilengkapi dengan mesin gas turbin General Electric LM 1500 selain 2 buah mesin diesel untuk kecepatan rendah.
15	-an,-i,-kan,di-	Partai ini didirikan pada bulan Desember 1945 di Purwakarta.
16	-an,-nya,-pun,ber-,ke-,me-	Tidak ada keterangan kejatuhan Yerusalem (berbeda dengan kota - kota lain) maupun gagalnya Sanherib merebut Yerusalem.
17	-an,-i,ber-,men-,peny-	Bang Yong Guk berkomentar, "Tujuan saya dari awal tidak menjadi penyanyi K - pop.
18	-an,-i,-nya,ber-,se-	Lambda Indonesia dan organisasi sejenis lainnya bermunculan pada akhir tahun 1980 - an dan 1990 - an.
19	-an,-i,-nya	Kota ini letaknya di bagian utara.
20	-an,-kan,-nya,me-,meng-	Apa yang ia lakukan, dan mengapa ia melakukannya?
21	-an	Soa Sahertian, Soa Tetelepta, Soa Polnaya, Soa Wattimury, Soa Latuihamallo, dan Soa Aponno.
22	-kah,-nya,pen-,se-	Apakah gelasnya setengah kosong atau setengah penuh?
23	-lah,se-	Itulah sekilas wajah / cermin desa Mundu.
24	-an,-i,-kan,ke-,men-,meng-,se-	Bagaimana bisa kita tidak mengungkapkan kesedihan yang mendalam akan semua hal ini?
25	-an,-i,-kan,me-,men-,per-,se-	Pdt. Fecki merupakan Pemimpin Umum / Redaksi Renungan Harian Anggur Baru. Ia menjabat sebagai Sekretaris II BPH Sinode Gereja Bethel Indonesia untuk periode 2008 - 2012.
26	-an,-i,-lah,-nya,-pun,ber-,di-,se-	Lelaki dan Telaga adalah album solo Franky Sahilatua yang berisi tiga lagu baru ("Lelaki dan Telaga", "Hitam Putih", dan "Nyanyian Para Mantan") dan sisanya adalah lagu - lagu yang diambil dari album - album solo Franky sebelumnya maupun album - album Franky &amp; Jane.
27	-an,-i,-kan,-nya,ber-,di-,ke-,me-,men-,meng-,peng-,peny-,se-,ter-	Hal ini dapat disebabkan oleh konsumsi obat yang mengandung kortikosteroid seperti medroksiprogesteron asetat yang biasa digunakan untuk berbagai pengobatan penyakit akut, atau konsumsi bahan kontrasepsi yang mengandung estrogen seperti mestranol, atau menjalani adrenalektomi yang biasanya mengakibatkan terjadinya adenoma pada kelenjar hipofisis.
28	-an,-i,-lah,ke-	Melingge adalah gampong di kecamatan Pulo Aceh, Kabupaten Aceh Besar, Aceh, Indonesia.
29	-an,-i,-kan,-lah,-nya,ke-,meng-,per-	Penggabungan dari ketiganya menghasilkan kembalinya ke Tao. Dewata Murni pertama adalah chi universal dan surgawi.
30	-an,-lah,pe-,pem-,se-	Widodo Cahyono Putro () adalah seorang pelatih dan pemain sepak bola legendaris Indonesia.
31	-an,-i,-kan,-lah,di-,se-	Istilah "Kecamatan" di provinsi Nanggroe Aceh Darussalam disebut juga dengan "Sagoe Cut" sedangkan di Papua disebut dengan istilah "Distrik".
32	-an,-i,-lah,se-	Wedi adalah sebuah desa di wilayah Kecamatan Gedangan, Kabupaten Sidoarjo, Provinsi Jawa Timur.
33	-an,-i,ber-,di-,peng-,se-	Versi remix Hurt (Snowflakes Remix) sering diputar di berbagai radio di Inggris dan sangat populer di kalangan penggemar musik urban.
34	-an,-lah	Ryan Hidayat () adalah salah satu aktor pria Indonesia.
35	-an,-i,ke-,men-,meny-	Menurut Joseon Sangosa, kehancuran tiga Gojoseon mulai pada tahun 400 SM, ketika Yan menyerang Gojoseon, dan Gihu menjadi raja Beonjoseon.
36	-an,-i,-kan,ke-,me-	Bulan November, pasukan Cakraningrat merebut Kartasura kembali.
37	-an,-i,me-,meng-,se-	Beberapa bulan sebelum Rose dan kawan - kawan lulus dari akademi, mereka wajib mengikuti ujian lapangan.
38	-an,-i,-kan,-lah,ber-,me-	SDN 004 Bengkong, merupakan salah satu Sekolah Menengah Dasar Negeri yang ada di Provinsi Kepulauan Riau, yang beralamat di Jl. Siak, Baloi Harapan II Kecamatan Bengkong - Batam.
39	-an,-kah,ber-	Akankah Farah tetap bertahan hidup?
40	-an,-i,-kan,ber-,meng-	Di album Sgt. Pepper's Lonely Hearts Club Band, band ini juga menggunakan beragam alat musik India dalam lagu 'Within You Without You', klarinet di 'When I' m Sixty - Four ', alat musik gesek di' She's Leaving Home ', harpsicord di' Fixing a Hole ', harmonium di' Being the Benefit of Mr. Kite 'dan masih banyak lagi.
